Attack, Defense
0.5672049898615887, 0.270909518351994
0.4813, 0.3467
0.4938, 0.3244
0.5312, 0.1556
0.475, 0.2444
0.5312, 0.2667
0.5, 0.2844
0.5312, 0.2222
0.5437, 0.3644
0.6062, 0.32
0.5625, 0.3333
0.4688, 0.2
0.4813, 0.3244
0.4688, 0.1333
0.625, 0.2444
0.6562, 0.3333
0.5625, 0.4
0.4688, 0.2
0.5938, 0.2889
0.5312, 0.2
0.625, 0.2667
0.5, 0.2222
0.5938, 0.2889
0.5, 0.1778
0.6562, 0.2889
0.4688, 0.2
0.625, 0.3111
0.625, 0.3778
0.5625, 0.3556
0.7188, 0.2133
0.625, 0.3289
0.5625, 0.3333
0.5437, 0.2667
0.6562, 0.3333
0.4875, 0.2311
0.5625, 0.2311
0.5938, 0.4
0.5, 0.3333
0.625, 0.2667
0.6562, 0.2667
0.5312, 0.3556
0.5938, 0.3778
0.4938, 0.2667
0.4938, 0.3244
0.5312, 0.2889
0.5312, 0.3333
0.5, 0.3556
0.5, 0.1644
0.4688, 0.2
0.5625, 0.3111
0.5625, 0.2222
0.4688, 0.2
0.5938, 0.3333
0.625, 0.3111
0.5312, 0.2
0.5625, 0.4
0.5625, 0.2533
0.5625, 0.4
0.5, 0.3111
0.4938, 0.2889
0.5, 0.2667
0.5, 0.2444
0.5, 0.2889
0.5312, 0.2889
0.5938, 0.2444
0.5, 0.2444
0.5312, 0.1778
0.5312, 0.1778
0.5375, 0.2578
0.7188, 0.2444
0.5, 0.3556
0.5312, 0.0667
0.7188, 0.1556
0.5312, 0.1778
0.5938, 0.2889
0.5938, 0.1778
0.5938, 0.3333
0.5, 0.1556
0.6875, 0.2444
0.6875, 0.2444
0.5938, 0.2444
0.5625, 0.3556
0.5625, 0.2
0.5312, 0.2889
0.6875, 0.2667
0.5312, 0.3333
0.5938, 0.3778
0.525, 0.3556
0.6188, 0.2933
0.5062, 0.3689
0.5, 0.2444
0.5, 0.2044
0.5, 0.1956
0.75, 0.1556
0.5563, 0.2
0.625, 0.2222
0.4875, 0.28
0.5938, 0.2711
0.4688, 0.1733
0.4813, 0.2622
0.55, 0.2756
0.5312, 0.2667
0.5, 0.1556
0.6562, 0.2889
0.6312, 0.2667
0.5938, 0.2978
0.5437, 0.3111
0.5625, 0.2756
0.5312, 0.3778
0.55, 0.2222
0.5938, 0.3556
0.5, 0.2844
0.5188, 0.2
0.5813, 0.2578
0.5813, 0.2578
0.5813, 0.2578
0.5938, 0.2578
0.5, 0.1556
0.4688, 0.2222
0.625, 0.3556
0.5625, 0.3111
0.5938, 0.3556
0.6125, 0.3333
0.5938, 0.3733
0.5437, 0.2667
0.4813, 0.1778
0.5312, 0.1778
0.5062, 0.2756
0.6687, 0.1778
0.5625, 0.3422
0.625, 0.2444
0.5625, 0.2444
0.5125, 0.2578
0.5625, 0.3556
0.5938, 0.2889
0.5, 0.2889
0.5, 0.2889
0.5125, 0.2444
0.6562, 0.3333
0.5, 0.2
0.5, 0.2889
0.4875, 0.2
0.575, 0.2711
0.5, 0.2889
0.625, 0.3778
0.5, 0.2222
0.5312, 0.2978
0.6875, 0.2889
0.6875, 0.2889
0.5625, 0.2756
0.475, 0.2933
0.5938, 0.2533
0.4813, 0.2533
0.4688, 0.2444
0.5437, 0.3689
0.525, 0.32
0.5437, 0.3111
0.5938, 0.2889
0.6562, 0.3156
0.6562, 0.2444

 Cluster number 1
Attack, Defense
0.5366553593947037, 0.5290233291298865
0.4875, 0.4222
0.5938, 0.4667
0.4688, 0.4222
0.5625, 0.4889
0.4375, 0.4667
0.5625, 0.7778
0.25, 0.6889
0.4688, 0.4667
0.5312, 0.5111
0.5, 0.4
0.3438, 0.5333
0.5, 0.4222
0.5938, 0.4222
0.4813, 0.4222
0.625, 0.4222
0.5938, 0.4889
0.375, 0.4667
0.5312, 0.6
0.4375, 0.4444
0.5, 0.8667
0.0312, 1.0
0.4688, 0.6
0.4688, 0.4444
0.4375, 0.4889
0.5312, 0.5556
0.5938, 0.4222
0.25, 0.5778
0.5312, 0.6
0.6562, 0.7778
0.5, 0.6
0.4062, 0.4444
0.475, 0.4089
0.4062, 0.5556
0.6188, 0.4444
0.4938, 0.4444
0.5312, 0.5556
0.5625, 0.4222
0.5938, 0.8667
0.4375, 0.6444
0.5938, 0.4222
0.65, 0.4444
0.2938, 0.7244
0.4688, 0.4311
0.525, 0.4933
0.5437, 0.4578
0.6687, 0.5022
0.5312, 0.4667
0.4062, 0.4889
0.5, 0.4
0.5938, 0.5333
0.6562, 0.5556
0.5625, 0.5333
0.3125, 0.6222
0.5938, 0.5778
0.4375, 0.5556
